file,num_threads,max_depth,max_num_nodes,speedup_arith_mean
anneal,2,4,15,1.2804554366244763
anneal,3,4,15,1.5778680988350342
anneal,4,4,15,1.589482321439664
anneal,2,5,24,1.4645697240466122
anneal,3,5,24,1.978677747401479
anneal,4,5,24,2.0143522438002437
audiology,2,4,15,1.5266186981688525
audiology,3,4,15,1.7845417377416126
audiology,4,4,15,1.8572147613795764
audiology,2,5,24,0.16174130768941702
audiology,3,5,24,0.1302978439927766
audiology,4,5,24,0.11287349026042706
breast-wisconsin,2,4,15,1.526021039768208
breast-wisconsin,3,4,15,1.7905056454668642
breast-wisconsin,4,4,15,1.7810738699082922
breast-wisconsin,2,5,24,1.2763932367335287
breast-wisconsin,3,5,24,1.9586765722502903
breast-wisconsin,4,5,24,2.1226234246817115
diabetes,2,4,15,1.5476169486671258
diabetes,3,4,15,1.8330017338742146
diabetes,4,4,15,2.06976409736514
diabetes,2,5,24,1.6087493408444733
diabetes,3,5,24,2.0759202342033505
diabetes,4,5,24,2.4411939175411517
fico-binary,2,4,15,1.4619767375594805
fico-binary,3,4,15,1.6289167756562088
fico-binary,4,4,15,1.7726948181357354
fico-binary,2,5,24,1.7445226549924258
fico-binary,3,5,24,2.0633046062572618
fico-binary,4,5,24,2.5730235608051517
german-credit,2,4,15,1.6484850177424037
german-credit,3,4,15,1.790766188702345
german-credit,4,4,15,2.1131458586280787
german-credit,2,5,24,1.5874706204132687
german-credit,3,5,24,2.041475548044692
german-credit,4,5,24,2.342859187760588
heart-cleveland,2,4,15,1.4306661751171466
heart-cleveland,3,4,15,1.5117524863464027
heart-cleveland,4,4,15,1.7497960617977895
heart-cleveland,2,5,24,1.5656912048167633
heart-cleveland,3,5,24,1.9355227374474278
heart-cleveland,4,5,24,2.1907918121525345
hepatitis,2,4,15,1.1864033140643524
hepatitis,3,4,15,1.277952899420341
hepatitis,4,4,15,1.3271546718618685
hepatitis,2,5,24,1.7801013910393177
hepatitis,3,5,24,1.8053565455352103
hepatitis,4,5,24,1.4867651462300635
kr-vs-kp,2,4,15,1.5166383762068645
kr-vs-kp,3,4,15,1.624830637112889
kr-vs-kp,4,4,15,1.7983348068825096
kr-vs-kp,2,5,24,1.7252994102652828
kr-vs-kp,3,5,24,2.0639683935218858
kr-vs-kp,4,5,24,2.413435027075909
lymph,2,4,15,1.3234825479880006
lymph,3,4,15,1.3057013129255248
lymph,4,4,15,1.4208318557739907
lymph,2,5,24,1.0814342172051965
lymph,3,5,24,0.7899033734407414
lymph,4,5,24,0.9526365955263632
mushroom,2,4,15,2.501919576693673
mushroom,3,4,15,2.4552003294752827
mushroom,4,4,15,2.3078104466263905
mushroom,2,5,24,0.8402686685765337
mushroom,3,5,24,0.9114761227700697
mushroom,4,5,24,0.698089657523473
